roadblock,time,weather,infrastructure,type,volume,severity
minor-accident,evening,snow/storm,good,local,0-249,medium
full-blockage,evening,foggy,average,local,0-249,medium
major-accident,night,foggy,good,collector,750-1000,high
major-accident,evening,light-rain,good,arterial,250-499,high
minor-accident,early-morning,heavy,bad,highways,1000+,high
minor-accident,early-morning,foggy,good,collector,250-499,low
major-accident,morning,light-rain,good,freeway,0-249,low
partial-roadwork,evening,clear,good,local,750-1000,medium
full-roadwork,afternoon,snow/storm,good,freeway,1000+,medium
major-accident,early-morning,snow/storm,good,arterial,750-1000,very-high
partial-blockage,night,clear,bad,freeway,0-249,very-low
partial-blockage,early-morning,foggy,good,freeway,250-499,very-low
none,evening,heavy,average,freeway,750-1000,high
partial-blockage,evening,clear,average,highways,0-249,low
minor-accident,night,heavy,good,highways,500-749,medium
full-blockage,morning,heavy,good,local,750-1000,very-high
full-blockage,early-morning,snow/storm,average,arterial,500-749,high
minor-accident,evening,light-rain,average,local,250-499,medium
major-accident,night,clear,good,highways,750-1000,medium
minor-accident,evening,foggy,average,highways,750-1000,high
partial-roadwork,afternoon,light-rain,bad,collector,250-499,high
minor-accident,night,snow/storm,average,highways,1000+,high
full-roadwork,night,heavy,bad,arterial,1000+,high
full-blockage,morning,heavy,average,freeway,0-249,medium
full-roadwork,early-morning,heavy,good,local,750-1000,high
partial-roadwork,afternoon,light-rain,good,arterial,1000+,medium
none,morning,snow/storm,good,arterial,0-249,medium
partial-roadwork,morning,light-rain,bad,arterial,1000+,high
partial-blockage,early-morning,heavy,good,freeway,250-499,low
none,evening,clear,good,local,0-249,very-low
minor-accident,early-morning,foggy,average,freeway,750-1000,medium
partial-roadwork,morning,snow/storm,average,collector,1000+,very-high
major-accident,night,heavy,bad,local,750-1000,high
none,morning,clear,bad,local,500-749,high
major-accident,morning,foggy,bad,local,500-749,high
none,early-morning,light-rain,average,collector,0-249,low
partial-roadwork,afternoon,snow/storm,good,local,750-1000,high
partial-roadwork,night,snow/storm,bad,local,750-1000,very-high
minor-accident,night,clear,average,freeway,250-499,low
minor-accident,night,heavy,average,local,250-499,medium
minor-accident,early-morning,clear,good,highways,250-499,very-low
none,early-morning,snow/storm,average,freeway,250-499,low
full-roadwork,night,snow/storm,average,freeway,500-749,high
partial-roadwork,afternoon,light-rain,good,local,750-1000,medium
major-accident,morning,snow/storm,bad,highways,0-249,high
major-accident,early-morning,light-rain,bad,collector,500-749,high
none,afternoon,foggy,bad,freeway,1000+,medium
full-blockage,afternoon,snow/storm,good,highways,0-249,medium
full-blockage,night,clear,average,local,750-1000,medium
partial-roadwork,night,clear,good,local,1000+,low
full-blockage,morning,light-rain,bad,arterial,750-1000,high
partial-roadwork,night,foggy,good,freeway,1000+,medium
partial-roadwork,early-morning,clear,good,arterial,0-249,low
major-accident,afternoon,light-rain,bad,collector,0-249,high
full-roadwork,morning,snow/storm,average,local,0-249,high
partial-roadwork,night,snow/storm,good,collector,1000+,high
full-roadwork,afternoon,snow/storm,average,collector,1000+,very-high
partial-blockage,evening,snow/storm,bad,collector,500-749,high
full-roadwork,morning,snow/storm,bad,freeway,500-749,high
minor-accident,morning,clear,average,arterial,500-749,medium
none,evening,foggy,average,arterial,250-499,low
full-blockage,night,light-rain,bad,arterial,750-1000,high
minor-accident,evening,foggy,bad,collector,250-499,medium
minor-accident,evening,clear,average,local,500-749,medium
partial-blockage,night,foggy,average,highways,250-499,low
full-roadwork,afternoon,heavy,average,local,750-1000,high
minor-accident,evening,heavy,good,highways,0-249,medium
major-accident,afternoon,foggy,bad,arterial,250-499,high
partial-blockage,night,heavy,good,collector,1000+,high
minor-accident,afternoon,foggy,bad,local,0-249,medium
minor-accident,morning,light-rain,good,local,500-749,medium
partial-roadwork,morning,clear,bad,local,0-249,medium
full-roadwork,afternoon,light-rain,bad,highways,250-499,medium
partial-roadwork,early-morning,light-rain,bad,freeway,500-749,medium
partial-roadwork,night,clear,good,local,500-749,medium
none,early-morning,heavy,good,collector,500-749,medium
full-blockage,early-morning,heavy,bad,local,500-749,very-high
major-accident,afternoon,foggy,good,local,500-749,high
partial-roadwork,afternoon,snow/storm,bad,local,500-749,high
none,morning,heavy,average,collector,500-749,high
partial-roadwork,morning,heavy,good,arterial,500-749,medium
full-blockage,evening,heavy,bad,arterial,0-249,high
partial-blockage,night,heavy,average,arterial,0-249,medium
full-roadwork,morning,heavy,bad,highways,250-499,high
none,night,foggy,average,highways,750-1000,medium
none,afternoon,light-rain,good,local,0-249,low
full-roadwork,afternoon,snow/storm,average,collector,1000+,very-high
minor-accident,night,clear,good,local,750-1000,medium
partial-blockage,night,snow/storm,good,arterial,500-749,high
partial-blockage,evening,foggy,bad,collector,1000+,high
none,early-morning,foggy,good,collector,500-749,low
full-blockage,night,snow/storm,average,freeway,250-499,medium
major-accident,evening,snow/storm,average,collector,750-1000,very-high
none,morning,snow/storm,good,arterial,750-1000,medium
none,morning,snow/storm,good,freeway,1000+,high
minor-accident,evening,snow/storm,bad,arterial,500-749,high
minor-accident,evening,foggy,average,highways,0-249,medium
major-accident,early-morning,heavy,average,arterial,500-749,medium
partial-blockage,morning,light-rain,bad,local,0-249,medium
none,afternoon,light-rain,bad,local,750-1000,high
partial-blockage,early-morning,snow/storm,average,highways,1000+,high
major-accident,night,heavy,bad,freeway,750-1000,high
none,afternoon,snow/storm,good,collector,750-1000,high
none,evening,clear,bad,local,1000+,high
none,early-morning,snow/storm,bad,highways,250-499,medium
partial-roadwork,early-morning,light-rain,good,collector,1000+,high
none,early-morning,foggy,good,arterial,250-499,low
full-roadwork,early-morning,clear,good,arterial,750-1000,medium
full-blockage,afternoon,clear,average,freeway,0-249,very-low
full-roadwork,afternoon,snow/storm,bad,arterial,250-499,medium
major-accident,afternoon,heavy,good,highways,500-749,medium
minor-accident,night,clear,bad,collector,750-1000,medium
minor-accident,morning,snow/storm,bad,freeway,750-1000,high
major-accident,afternoon,snow/storm,good,collector,0-249,medium
partial-blockage,evening,clear,bad,arterial,250-499,medium
minor-accident,morning,clear,good,highways,1000+,high
none,morning,clear,good,arterial,750-1000,low
none,afternoon,light-rain,good,highways,750-1000,medium
full-roadwork,evening,foggy,bad,highways,1000+,very-high
major-accident,afternoon,snow/storm,average,local,0-249,medium
none,afternoon,snow/storm,good,collector,0-249,low
partial-blockage,night,light-rain,average,highways,1000+,medium
none,afternoon,heavy,bad,highways,750-1000,medium
full-roadwork,early-morning,heavy,bad,local,250-499,high
full-roadwork,afternoon,light-rain,average,freeway,500-749,medium
minor-accident,morning,foggy,bad,highways,500-749,medium
partial-blockage,night,snow/storm,bad,arterial,250-499,medium
full-blockage,afternoon,snow/storm,bad,freeway,750-1000,very-high
full-roadwork,morning,light-rain,good,local,0-249,medium
partial-roadwork,early-morning,heavy,good,arterial,250-499,low
major-accident,evening,clear,average,arterial,750-1000,high
full-roadwork,night,clear,average,arterial,500-749,medium
partial-roadwork,afternoon,foggy,good,freeway,1000+,medium
none,evening,heavy,bad,arterial,500-749,high
major-accident,night,foggy,bad,local,750-1000,high
none,night,heavy,good,local,500-749,medium
partial-roadwork,night,light-rain,bad,arterial,500-749,high
partial-blockage,evening,foggy,average,collector,1000+,high
full-roadwork,early-morning,clear,good,collector,250-499,low
none,morning,snow/storm,bad,local,750-1000,high
major-accident,night,clear,bad,freeway,250-499,very-low
minor-accident,early-morning,foggy,average,arterial,1000+,medium
major-accident,evening,clear,good,freeway,0-249,very-low
major-accident,morning,clear,average,collector,0-249,medium
partial-blockage,night,snow/storm,bad,collector,750-1000,very-high
none,evening,light-rain,bad,collector,0-249,medium
partial-blockage,morning,foggy,good,collector,250-499,medium
partial-blockage,afternoon,heavy,good,collector,750-1000,medium
major-accident,afternoon,clear,good,collector,1000+,high
partial-roadwork,early-morning,snow/storm,good,freeway,500-749,medium
none,evening,heavy,average,highways,1000+,medium
full-roadwork,evening,heavy,average,arterial,500-749,high
partial-blockage,morning,light-rain,average,freeway,1000+,high
major-accident,night,light-rain,good,arterial,250-499,low
major-accident,night,snow/storm,average,collector,1000+,very-high
full-roadwork,early-morning,heavy,bad,highways,750-1000,high
partial-blockage,afternoon,heavy,good,highways,1000+,medium
full-roadwork,night,clear,bad,freeway,1000+,high
none,early-morning,foggy,average,collector,500-749,medium
none,evening,snow/storm,good,highways,750-1000,medium
partial-roadwork,afternoon,clear,good,freeway,250-499,very-low
full-blockage,afternoon,snow/storm,good,local,750-1000,high
major-accident,early-morning,heavy,bad,highways,500-749,high
none,night,heavy,good,highways,250-499,low
full-roadwork,morning,snow/storm,good,collector,750-1000,very-high
major-accident,morning,heavy,average,arterial,0-249,medium
partial-roadwork,morning,light-rain,average,highways,1000+,high
major-accident,morning,heavy,average,collector,1000+,very-high
full-roadwork,afternoon,light-rain,bad,freeway,750-1000,medium
partial-roadwork,evening,foggy,bad,freeway,500-749,high
partial-blockage,afternoon,snow/storm,good,highways,500-749,medium
major-accident,afternoon,snow/storm,average,arterial,500-749,medium
full-roadwork,evening,snow/storm,bad,arterial,0-249,high
partial-blockage,night,foggy,average,local,750-1000,medium
full-roadwork,morning,light-rain,bad,local,750-1000,very-high
partial-blockage,evening,clear,good,highways,1000+,medium
major-accident,early-morning,heavy,average,local,250-499,medium
none,evening,snow/storm,average,collector,1000+,very-high
full-blockage,night,foggy,bad,arterial,250-499,medium
major-accident,night,snow/storm,average,arterial,250-499,medium
minor-accident,evening,snow/storm,good,highways,250-499,high
full-roadwork,early-morning,snow/storm,bad,highways,250-499,medium
minor-accident,evening,light-rain,average,freeway,1000+,high
full-blockage,afternoon,light-rain,bad,arterial,500-749,medium
partial-roadwork,afternoon,snow/storm,average,highways,250-499,medium
full-blockage,night,clear,bad,collector,750-1000,high
minor-accident,evening,foggy,good,arterial,1000+,medium
full-blockage,night,clear,bad,collector,1000+,high
none,afternoon,snow/storm,average,freeway,750-1000,medium
partial-blockage,afternoon,snow/storm,average,local,500-749,high
full-roadwork,afternoon,heavy,average,collector,0-249,medium
major-accident,night,foggy,average,collector,0-249,medium
minor-accident,afternoon,heavy,average,highways,0-249,medium
partial-roadwork,night,light-rain,good,highways,1000+,medium
partial-blockage,evening,foggy,bad,highways,500-749,high
partial-blockage,afternoon,clear,good,collector,250-499,low
none,early-morning,light-rain,average,arterial,750-1000,medium
full-roadwork,night,foggy,average,arterial,250-499,medium
major-accident,afternoon,snow/storm,bad,collector,250-499,very-high
partial-roadwork,night,light-rain,bad,freeway,250-499,low
major-accident,afternoon,heavy,average,highways,250-499,low
major-accident,early-morning,heavy,bad,highways,750-1000,high
partial-blockage,evening,light-rain,good,collector,500-749,medium
partial-roadwork,early-morning,light-rain,bad,arterial,750-1000,medium
minor-accident,early-morning,snow/storm,bad,arterial,750-1000,high
full-blockage,night,light-rain,bad,freeway,1000+,high
minor-accident,early-morning,heavy,good,highways,0-249,low
major-accident,early-morning,light-rain,bad,arterial,0-249,medium
none,early-morning,light-rain,average,local,1000+,medium
none,night,light-rain,bad,arterial,0-249,low
full-roadwork,night,foggy,bad,freeway,250-499,medium
partial-roadwork,early-morning,snow/storm,average,collector,250-499,medium
minor-accident,night,foggy,good,collector,0-249,low
minor-accident,morning,foggy,average,highways,500-749,medium
partial-blockage,early-morning,clear,bad,highways,250-499,low
none,evening,foggy,bad,local,0-249,medium
partial-roadwork,afternoon,heavy,good,highways,250-499,low
partial-roadwork,evening,foggy,bad,local,0-249,medium
full-blockage,evening,snow/storm,good,highways,0-249,medium
major-accident,morning,foggy,bad,highways,0-249,medium
partial-roadwork,night,snow/storm,good,arterial,0-249,low
partial-blockage,night,snow/storm,average,local,1000+,high
full-roadwork,afternoon,light-rain,average,collector,0-249,low
minor-accident,night,clear,good,freeway,0-249,very-low
major-accident,evening,light-rain,good,highways,0-249,low
major-accident,afternoon,snow/storm,good,arterial,250-499,medium
partial-blockage,early-morning,snow/storm,bad,freeway,750-1000,high
minor-accident,evening,light-rain,average,highways,0-249,low
partial-blockage,afternoon,foggy,bad,local,1000+,high
major-accident,evening,heavy,average,freeway,750-1000,high
partial-blockage,morning,heavy,bad,arterial,750-1000,high
partial-roadwork,night,light-rain,average,collector,750-1000,medium
full-roadwork,early-morning,foggy,bad,collector,750-1000,high
full-blockage,early-morning,foggy,bad,collector,1000+,high
partial-blockage,morning,light-rain,average,local,1000+,medium
none,night,clear,good,freeway,500-749,very-low
full-roadwork,early-morning,clear,bad,arterial,0-249,low
full-blockage,morning,clear,average,collector,500-749,medium
minor-accident,afternoon,light-rain,good,collector,500-749,low
none,morning,light-rain,good,arterial,500-749,low
partial-roadwork,morning,clear,average,arterial,250-499,low
major-accident,afternoon,foggy,bad,collector,0-249,medium
full-roadwork,evening,clear,bad,collector,750-1000,high
partial-roadwork,morning,foggy,bad,local,500-749,high
none,evening,foggy,average,arterial,0-249,low
partial-roadwork,morning,foggy,bad,local,0-249,medium
full-roadwork,afternoon,clear,average,collector,250-499,medium
full-roadwork,early-morning,clear,good,collector,0-249,low
full-roadwork,afternoon,snow/storm,average,freeway,250-499,medium
full-blockage,early-morning,heavy,good,arterial,1000+,high
partial-blockage,afternoon,foggy,average,highways,0-249,low
partial-blockage,morning,heavy,average,local,0-249,medium
partial-blockage,early-morning,clear,bad,arterial,1000+,medium
partial-blockage,early-morning,snow/storm,average,arterial,750-1000,high
none,afternoon,heavy,average,freeway,0-249,very-low
full-roadwork,early-morning,snow/storm,bad,highways,250-499,medium
partial-blockage,evening,light-rain,bad,collector,0-249,high
partial-roadwork,evening,light-rain,bad,highways,500-749,high
full-blockage,afternoon,foggy,good,freeway,750-1000,medium
partial-roadwork,morning,clear,average,arterial,750-1000,medium
full-roadwork,evening,snow/storm,bad,local,1000+,very-high
major-accident,afternoon,foggy,average,freeway,1000+,medium
partial-blockage,early-morning,snow/storm,average,collector,1000+,high
none,morning,foggy,bad,arterial,500-749,high
full-roadwork,afternoon,clear,good,collector,250-499,low
none,morning,snow/storm,bad,collector,500-749,high
minor-accident,early-morning,heavy,good,highways,750-1000,medium
full-roadwork,evening,heavy,bad,collector,1000+,very-high
minor-accident,afternoon,light-rain,bad,freeway,250-499,low
full-blockage,morning,clear,bad,arterial,1000+,high
none,early-morning,clear,good,local,750-1000,low
partial-roadwork,night,heavy,good,highways,750-1000,medium
minor-accident,night,snow/storm,average,freeway,0-249,low
partial-blockage,early-morning,snow/storm,bad,highways,1000+,very-high
major-accident,morning,heavy,good,arterial,750-1000,high
partial-roadwork,evening,foggy,good,arterial,750-1000,medium
major-accident,evening,clear,average,collector,1000+,very-high
partial-roadwork,night,clear,good,highways,250-499,very-low
partial-roadwork,evening,light-rain,bad,highways,250-499,high
minor-accident,night,foggy,bad,highways,250-499,low
major-accident,night,foggy,bad,collector,1000+,very-high
